,WS1,RAS S1,T25A,RAS T25A,T25B,RAS T25B,S26,RAS S26
12/30/2020 0:00,0.73,0,0.74,0.01,0.84,-0.02,0.77,-0.02
12/30/2020 1:00,0.15,-0.36,0.19,-0.36,0.25,-0.35,0.17,-0.35
12/30/2020 2:00,-0.2,-0.82,-0.18,-0.81,-0.09,-0.82,-0.16,-0.83
12/30/2020 3:00,-0.28,-0.76,-0.3,-0.76,-0.22,-0.75,-0.28,-0.75
12/30/2020 4:00,-0.05,-0.54,-0.04,-0.54,0.02,-0.54,0,-0.54
12/30/2020 5:00,0.52,0.01,0.5,0.01,0.55,0.01,0.6,0.01
12/30/2020 6:00,1.13,0.57,1.18,0.57,1.17,0.56,1.23,0.56
12/30/2020 7:00,1.59,1.07,1.6,1.07,1.65,1.06,1.65,1.06
12/30/2020 8:00,1.99,1.47,1.98,1.47,2.05,1.46,2.05,1.46
12/30/2020 9:00,2.2,1.62,2.24,1.62,2.31,1.62,2.27,1.62
12/30/2020 10:00,2.21,1.56,2.22,1.56,2.34,1.57,2.32,1.57
12/30/2020 11:00,1.78,1.11,1.82,1.11,1.91,1.11,1.86,1.11
12/30/2020 12:00,1.28,0.69,1.31,0.69,1.41,0.7,1.33,0.7
12/30/2020 13:00,0.85,0.22,0.85,0.22,0.95,0.22,0.9,0.22
12/30/2020 14:00,0.33,-0.2,0.34,-0.2,0.43,-0.2,0.39,-0.2
12/30/2020 15:00,0.14,-0.38,0.14,-0.38,0.23,-0.37,0.21,-0.37
12/30/2020 16:00,0.18,-0.33,0.13,-0.33,0.26,-0.33,0.17,-0.33
12/30/2020 17:00,0.52,0.05,0.52,0.05,0.6,0.05,0.54,0.05
12/30/2020 18:00,1.14,0.6,1.18,0.6,1.17,0.6,1.25,0.6
12/30/2020 19:00,1.62,1.03,1.65,1.04,1.7,1.03,1.67,1.03
12/30/2020 20:00,1.93,1.44,1.95,1.44,2,1.44,2,1.44
12/30/2020 21:00,2.19,1.55,2.21,1.55,2.25,1.55,2.25,1.55
12/30/2020 22:00,2.11,1.41,2.12,1.4,2.22,1.41,2.19,1.41
12/30/2020 23:00,1.65,1.07,1.69,1.06,1.76,1.07,1.72,1.07
